Order Date,Order Ref No,Customer Ref,Order Number,Product Key,Region Key,Order Quantity
28/05/2018,2018XX232107,126241,ON#2425,201,2,80
05/12/2018,2018XX213823,123376,ON#2396,201,1,77
19/12/2018,2018XX219038,129766,ON#2378,201,4,82
28/06/2018,2018XX263068,122221,ON#2355,201,2,75
07/07/2017,2017XX271930,128431,ON#2439,201,3,86
07/07/2017,2017XX271930,128431,ON#2404,201,3,78
17/12/2018,2018XX268661,127996,ON#2363,201,1,81
28/04/2018,2018XX255704,123121,ON#2361,201,3,78
09/10/2015,2015XX251105,122251,ON#2419,202,1,83
03/02/2016,2016XX257475,132886,ON#2393,202,3,87
09/12/2018,2018XX228670,127621,ON#2429,202,1,78
28/09/2017,2017YY257923,131986,ON#2424,202,3,82
28/12/2015,2015XX231456,121546,ON#2424,202,1,81
20/12/2017,2017XX224351,129796,ON#2410,202,2,82
20/02/2018,2018XX265931,123976,ON#2423,202,1,83
11/12/2017,2017XX239625,122026,ON#2441,202,1,89
27/10/2015,2015XX275598,129691,ON#2434,202,1,79
22/02/2017,2017YY278552,132106,ON#2414,202,1,90
26/10/2018,2018XX273785,130471,ON#2419,202,4,84
06/10/2018,2018XX231918,128986,ON#2350,202,3,78
10/12/2017,2017XX244553,128266,ON#2391,202,4,79
08/10/2016,2016XX216812,128386,ON#2366,202,3,75
18/06/2016,2016YY228397,129826,ON#2395,202,2,84
29/09/2017,2017XX271125,125641,ON#2372,202,2,76
11/08/2017,2017XX245435,129676,ON#2358,202,3,81
10/11/2018,2018XX274338,128416,ON#2374,202,1,84
25/11/2016,2016XX229951,121606,ON#2417,202,2,82
05/12/2018,2018XX228880,129091,ON#2416,202,1,79
13/04/2017,2017XX238351,124336,ON#2419,202,2,75
12/10/2018,2018YY253401,126526,ON#2430,202,3,84
03/12/2017,2017XX275017,124381,ON#2382,202,3,83
23/08/2015,2015XX228677,129436,ON#2363,202,1,84
27/04/2018,2018YY252890,126001,ON#2352,202,4,81
30/04/2018,2018YY231360,132511,ON#2436,202,2,86
05/12/2017,2017XX273449,124966,ON#2373,202,2,88
23/10/2016,2016XX213473,131236,ON#2443,202,2,79
26/04/2017,2017XX231295,123946,ON#2432,202,4,90
06/03/2017,2017XX212206,121861,ON#2387,202,4,87
22/08/2015,2015XX221103,129931,ON#2444,202,1,89
17/07/2016,2016YY275038,127996,ON#2407,202,2,81
31/12/2015,2015XX268857,121141,ON#2361,202,5,90
20/12/2016,2016XX226612,122011,ON#2385,202,3,85
07/05/2015,2015XX265021,125386,ON#2436,202,5,81
03/10/2018,2018XX258196,121321,ON#2379,202,1,78
26/04/2015,2015XX239450,123376,ON#2407,202,5,79
13/07/2017,2017XX249901,124156,ON#2404,203,1,80
29/09/2017,2017XX269781,130576,ON#2423,203,3,88
09/10/2015,2015XX251105,122251,ON#2398,203,1,81
17/08/2017,2017YY211933,123316,ON#2419,203,2,90
19/09/2018,2018XX229160,129466,ON#2421,203,4,90
20/12/2018,2018XX270089,121261,ON#2349,203,1,90
19/12/2018,2018YY243657,123391,ON#2411,203,2,76
21/12/2016,2016YY234431,127456,ON#2433,203,5,75
08/02/2017,2017XX213151,124591,ON#2368,203,1,75
23/06/2017,2017XX258147,121981,ON#2422,203,1,76
20/03/2018,2018XX277628,128836,ON#2357,203,3,78
18/04/2018,2018XX254080,130291,ON#2393,203,1,81
18/04/2018,2018XX254080,130291,ON#2424,203,1,76
19/10/2017,2017XX268724,131476,ON#2421,203,1,79
28/12/2016,2016XX268346,127996,ON#2392,203,2,81
12/09/2018,2018XX250524,132076,ON#2401,203,5,78
20/10/2015,2015XX238512,126946,ON#2411,203,4,75
15/06/2017,2017YY260114,129016,ON#2384,203,3,90
27/12/2015,2015XX250811,128806,ON#2358,203,3,88
27/12/2015,2015XX250811,128806,ON#2353,203,5,88
09/09/2015,2015XX235691,128671,ON#2409,203,2,81
29/12/2017,2017YY274471,130336,ON#2365,203,3,80
27/12/2015,2015XX235943,128356,ON#2351,203,4,88
10/10/2018,2018XX212038,127606,ON#2414,203,4,84
25/10/2018,2018XX233577,125341,ON#2424,203,1,78
14/02/2018,2018YY278615,123196,ON#2412,203,4,75
03/11/2017,2017XX229902,132091,ON#2420,203,2,81
26/08/2016,2016XX250461,131041,ON#2450,203,4,77
10/12/2018,2018YY279133,126946,ON#2426,203,3,89
16/04/2017,2017XX250181,125446,ON#2373,203,5,86
18/11/2017,2017XX275185,129001,ON#2375,203,5,84
08/07/2016,2016XX268556,125896,ON#2350,203,4,80
23/12/2018,2018XX262123,126241,ON#2379,203,2,82
17/03/2017,2017XX216994,126676,ON#2357,203,3,77
12/10/2017,2017XX256838,127651,ON#2450,204,2,90
10/07/2018,2018YY217876,128911,ON#2411,204,2,78
02/12/2015,2015XX245526,131026,ON#2381,204,5,89
14/10/2015,2015XX244175,126646,ON#2419,204,5,79
15/12/2016,2016XX249110,129946,ON#2428,204,4,84
28/09/2018,2018XX237280,127816,ON#2354,204,3,78
18/10/2018,2018XX223728,121336,ON#2369,204,5,80
18/08/2016,2016XX249747,126646,ON#2363,204,2,86
18/12/2018,2018XX249376,132976,ON#2362,204,5,76
07/12/2017,2017YY280253,125821,ON#2356,204,3,76
09/12/2016,2016XX275654,121561,ON#2394,204,2,76
22/06/2015,2015XX215993,122641,ON#2443,204,2,81
23/06/2015,2015XX255053,125296,ON#2428,204,5,85
10/06/2015,2015XX269984,131401,ON#2440,204,1,78
24/04/2015,2015XX232051,129976,ON#2418,204,5,78
13/12/2016,2016XX224841,121801,ON#2377,204,1,79
12/11/2015,2015XX269137,126031,ON#2390,204,5,86
22/08/2018,2018YY269718,131311,ON#2352,204,3,81
11/12/2016,2016XX269872,131806,ON#2367,204,4,86
12/10/2017,2017XX227774,125221,ON#2374,204,1,87
15/12/2015,2015YY234732,131986,ON#2386,204,4,79
20/10/2018,2018XX265035,121216,ON#2370,204,4,76
05/06/2018,2018XX244280,129406,ON#2385,204,4,84
11/10/2015,2015XX236944,123676,ON#2382,204,5,78
18/10/2015,2015XX243160,127081,ON#2438,204,4,77
15/03/2016,2016XX228089,132181,ON#2386,204,2,89
02/02/2018,2018XX262963,126361,ON#2445,204,3,76
27/11/2016,2016XX261927,127801,ON#2357,204,4,76
24/11/2016,2016XX220403,123796,ON#2360,204,1,84
29/10/2018,2018XX237889,125476,ON#2431,204,5,78
16/07/2018,2018XX230497,132316,ON#2449,204,3,78
12/10/2016,2016XX237147,131671,ON#2384,204,3,90
02/12/2018,2018XX213018,131086,ON#2389,204,2,85
31/08/2018,2018XX258245,127906,ON#2385,204,4,87
03/12/2018,2018XX278608,127831,ON#2406,204,1,75
15/02/2018,2018XX224491,125881,ON#2402,204,2,77
20/04/2016,2016XX279301,123766,ON#2366,204,1,86
06/05/2016,2016YY247689,125761,ON#2349,205,2,89
03/02/2016,2016XX257475,132886,ON#2407,205,4,90
17/04/2016,2016XX256565,123496,ON#2384,205,3,75
09/08/2018,2018XX219773,126496,ON#2437,205,3,84
29/07/2017,2017XX251756,123751,ON#2419,205,4,88
14/12/2016,2016XX227011,127756,ON#2400,205,1,76
21/09/2018,2018XX248557,124921,ON#2446,205,4,75
22/10/2015,2015XX265182,126106,ON#2413,205,3,79
22/10/2015,2015XX265182,126106,ON#2410,205,4,81
11/05/2016,2016XX279980,124066,ON#2356,205,5,90
20/12/2018,2018XX269942,121561,ON#2416,205,2,90
17/06/2017,2017XX244357,124546,ON#2364,205,4,78
12/06/2018,2018XX245036,128191,ON#2403,205,3,84
25/12/2018,2018XX242579,131551,ON#2432,205,5,82
15/11/2015,2015YY257566,126721,ON#2409,205,1,84
13/10/2015,2015YY230294,132496,ON#2356,205,2,83
03/12/2018,2018XX213592,122656,ON#2387,205,3,86
30/04/2016,2016XX232618,125446,ON#2437,205,5,77
10/02/2016,2016XX230693,123796,ON#2410,205,1,77
28/10/2016,2016XX214285,126046,ON#2365,205,1,88
18/09/2018,2018XX230105,132526,ON#2404,205,1,81
23/07/2018,2018XX267149,126841,ON#2386,205,4,86
11/10/2016,2016XX219885,125341,ON#2445,205,5,88
04/12/2018,2018XX229230,127981,ON#2434,205,3,83
11/11/2017,2017XX268920,123721,ON#2396,205,5,80
18/04/2015,2015XX239072,130366,ON#2415,205,5,87
21/11/2018,2018XX214278,130201,ON#2381,205,2,90
27/07/2016,2016XX255095,124471,ON#2435,205,3,76
07/04/2017,2017YY266386,127156,ON#2414,205,1,82
23/11/2016,2016XX280946,125611,ON#2445,205,4,88
22/09/2017,2017XX279196,130381,ON#2373,205,3,82
16/09/2017,2017XX278454,122431,ON#2395,205,3,86
16/09/2017,2017XX278454,122431,ON#2375,205,3,83
22/05/2017,2017XX257636,122791,ON#2393,205,4,77
07/06/2018,2018YY273337,126601,ON#2419,205,5,86
07/12/2017,2017YY214887,121831,ON#2355,205,4,84
28/11/2017,2017XX253758,127006,ON#2383,206,4,89
17/04/2016,2016XX256565,123496,ON#2380,206,1,82
05/12/2018,2018YY267296,126286,ON#2438,206,1,87
18/07/2018,2018XX229650,130276,ON#2393,206,3,84
25/10/2016,2016YY272679,129826,ON#2450,206,3,80
20/04/2016,2016XX243314,126661,ON#2429,206,2,83
05/06/2018,2018XX239968,129271,ON#2376,206,4,90
03/12/2018,2018XX266302,124021,ON#2386,206,4,79
21/12/2015,2015YY220249,127621,ON#2394,206,2,85
19/10/2016,2016XX220788,127741,ON#2428,206,5,79
29/12/2015,2015XX221999,121906,ON#2439,206,2,90
24/09/2018,2018XX240234,129961,ON#2385,206,4,82
07/06/2015,2015YY266092,131821,ON#2350,206,2,83
26/12/2018,2018YY244525,122611,ON#2406,206,4,84
30/11/2016,2016XX243531,132331,ON#2351,206,3,88
15/09/2017,2017XX247234,126691,ON#2391,206,3,87
25/03/2015,2015YY248893,126541,ON#2441,206,1,76
07/09/2018,2018XX247822,132466,ON#2414,206,5,89
06/12/2016,2016XX242285,127756,ON#2403,206,1,84
22/10/2016,2016XX269634,125686,ON#2366,206,3,77
05/12/2017,2017XX274541,132676,ON#2440,206,2,80
23/11/2017,2017XX281100,128641,ON#2369,206,2,84
09/05/2015,2015XX261794,129556,ON#2418,206,4,85
15/08/2018,2018YY273148,126946,ON#2360,206,2,80
12/04/2018,2018YY244294,130096,ON#2414,206,3,76
02/12/2018,2018XX215349,131176,ON#2373,206,1,78
30/12/2017,2017XX267961,122866,ON#2395,206,4,85
15/11/2015,2015YY262228,122611,ON#2425,206,4,86
25/04/2018,2018XX212850,121726,ON#2435,206,4,75
25/10/2016,2016XX224344,128416,ON#2419,206,2,79
20/07/2018,2018XX281212,126796,ON#2447,206,5,77
05/07/2017,2017XX268962,127756,ON#2392,207,2,80
20/10/2015,2015YY218205,131401,ON#2363,207,4,79
26/12/2018,2018XX272693,130396,ON#2427,207,4,90
05/02/2015,2015XX223539,130306,ON#2378,207,2,85
08/08/2018,2018XX216266,123466,ON#2448,207,3,87
29/12/2016,2016XX240325,121951,ON#2356,207,5,82
10/03/2016,2016XX246604,125341,ON#2395,207,3,75
06/12/2018,2018XX238078,129436,ON#2389,207,2,90
24/07/2017,2017XX251714,126181,ON#2449,207,4,88
13/11/2016,2016XX270999,130411,ON#2438,207,5,75
26/08/2015,2015XX255130,127756,ON#2355,207,1,80
23/12/2018,2018XX230406,131101,ON#2437,207,4,85
19/12/2018,2018XX213312,125026,ON#2384,207,3,89
25/10/2016,2016XX264594,124366,ON#2409,207,5,81
25/12/2016,2016XX264629,132451,ON#2386,207,5,86
05/12/2015,2015XX237042,132961,ON#2411,207,5,76
07/05/2015,2015XX281016,131371,ON#2392,207,2,77
11/05/2017,2017XX234571,122791,ON#2410,207,4,77
30/12/2016,2016XX249138,126346,ON#2416,207,2,80
28/07/2016,2016XX223357,123856,ON#2376,207,3,88
12/04/2018,2018YY252771,128401,ON#2442,207,4,80
06/12/2018,2018YY237266,123061,ON#2437,207,1,90
09/12/2018,2018XX263649,123016,ON#2430,207,3,90
09/12/2018,2018YY278783,125011,ON#2410,207,3,83
12/09/2017,2017XX239884,129181,ON#2396,207,3,81
15/10/2018,2018XX264188,130816,ON#2360,207,4,77
17/04/2018,2018XX240507,127726,ON#2402,207,1,85
10/12/2018,2018XX213872,128326,ON#2398,207,2,86
18/10/2017,2017XX221019,126796,ON#2442,208,1,83
19/08/2017,2017XX225940,128056,ON#2448,208,4,79
12/09/2015,2015XX238225,125791,ON#2438,208,4,85
20/11/2018,2018XX236412,125971,ON#2389,208,1,80
27/12/2018,2018XX276242,121186,ON#2385,208,5,83
17/09/2016,2016YY239303,126976,ON#2384,208,5,79
10/10/2015,2015XX237616,130636,ON#2422,208,5,84
26/08/2016,2016XX259848,129136,ON#2442,208,5,82
04/04/2017,2017XX223336,122821,ON#2408,208,5,77
17/12/2015,2015XX247612,123211,ON#2429,208,5,80
28/06/2017,2017XX249908,127786,ON#2388,208,4,76
05/06/2016,2016XX240913,127891,ON#2393,208,1,78
07/09/2017,2017XX270082,121801,ON#2366,208,3,81
05/10/2018,2018XX251539,126046,ON#2362,208,5,77
24/11/2016,2016XX243699,126466,ON#2405,208,4,90
23/09/2017,2017YY259547,124681,ON#2362,208,2,75
20/06/2015,2015YY218912,126931,ON#2382,208,2,76
16/10/2017,2017YY239891,130681,ON#2356,208,4,78
03/12/2018,2018YY275003,129421,ON#2379,208,5,82
11/07/2018,2018XX269284,122431,ON#2420,208,1,83
13/12/2015,2015YY270831,124081,ON#2431,208,5,89
19/09/2018,2018XX232240,126046,ON#2430,208,3,78
11/12/2016,2016XX232996,130291,ON#2358,208,4,84
07/11/2015,2015XX221824,127126,ON#2387,208,2,86
22/08/2018,2018XX215944,121816,ON#2398,208,1,87
03/11/2017,2017XX229902,132091,ON#2416,208,2,78
11/07/2018,2018XX248214,125656,ON#2357,208,1,80
08/02/2018,2018YY235075,126301,ON#2409,208,3,84
03/12/2018,2018YY223560,122491,ON#2427,208,2,80
21/05/2018,2018XX230868,123406,ON#2362,208,1,81
27/09/2017,2017XX225814,121591,ON#2401,208,2,77
22/11/2017,2017XX277586,126676,ON#2387,208,3,80
30/07/2018,2018YY224414,132331,ON#2383,208,3,80
12/05/2015,2015XX221768,129166,ON#2437,208,5,78
28/06/2018,2018XX256978,122926,ON#2444,208,5,81
08/10/2015,2015XX237406,131521,ON#2441,208,1,82
10/12/2018,2018YY229251,127711,ON#2421,209,1,76
12/10/2018,2018XX223987,131071,ON#2438,209,5,87
16/04/2015,2015XX261171,121351,ON#2387,209,3,83
24/06/2015,2015YY216980,121621,ON#2381,209,4,84
12/12/2015,2015XX274632,132691,ON#2404,209,4,90
28/04/2017,2017XX274114,121156,ON#2414,209,5,79
02/11/2018,2018XX240591,129616,ON#2425,209,2,76
16/02/2017,2017XX263285,124351,ON#2389,209,1,90
13/11/2016,2016XX245960,124036,ON#2428,209,1,76
20/06/2018,2018XX224743,122236,ON#2400,209,2,76
20/06/2018,2018XX224743,122236,ON#2430,209,3,75
20/06/2018,2018XX224743,122236,ON#2385,209,2,82
26/03/2018,2018XX237091,129136,ON#2358,209,1,87
15/10/2016,2016XX252197,123796,ON#2413,209,4,77
02/07/2016,2016YY274898,127531,ON#2395,209,4,82
28/06/2016,2016XX246233,128881,ON#2446,209,5,76
03/09/2016,2016XX233619,122566,ON#2421,209,3,81
16/02/2018,2018XX272147,132571,ON#2420,209,2,76
07/10/2017,2017XX235145,133006,ON#2383,209,1,87
18/09/2018,2018XX262424,121231,ON#2351,209,2,84
09/11/2016,2016XX236923,122791,ON#2369,209,5,77
18/12/2018,2018XX239478,132886,ON#2382,209,2,77
19/05/2015,2015XX211891,127831,ON#2390,209,1,82
05/12/2017,2017XX277040,128776,ON#2373,209,4,85
23/12/2018,2018XX211625,131536,ON#2447,209,5,86
11/12/2018,2018YY239660,128956,ON#2367,209,4,78
14/04/2017,2017YY225226,131881,ON#2374,209,5,80
29/12/2018,2018YY269739,127471,ON#2409,209,4,90
04/08/2018,2018YY277446,129061,ON#2417,209,2,88
04/12/2017,2017XX260975,130831,ON#2432,209,5,80
02/02/2018,2018XX262963,126361,ON#2353,209,4,75
24/05/2018,2018YY243244,129886,ON#2409,209,1,82
30/12/2017,2017XX275164,122986,ON#2412,209,1,79
03/03/2018,2018XX239289,122461,ON#2381,209,4,77
18/12/2017,2017XX242852,129751,ON#2410,209,4,88
14/11/2015,2015XX243223,129106,ON#2370,209,4,88
07/09/2016,2016XX246464,130381,ON#2388,209,1,82
29/07/2018,2018XX248662,128836,ON#2372,209,4,75
28/04/2018,2018XX255704,123121,ON#2423,209,3,89
24/12/2018,2018XX230217,126361,ON#2392,210,5,83
09/08/2018,2018XX245519,132106,ON#2450,210,5,81
10/12/2015,2015XX255879,126631,ON#2384,210,2,85
17/04/2016,2016XX256565,123496,ON#2394,210,4,82
15/06/2018,2018XX254899,130126,ON#2361,210,3,88
22/08/2017,2017XX257734,123721,ON#2399,210,2,75
27/02/2015,2015YY266715,131596,ON#2349,210,3,85
24/12/2017,2017XX271342,128311,ON#2361,210,5,81
21/07/2015,2015XX278076,131131,ON#2386,210,3,89
29/12/2015,2015XX221999,121906,ON#2435,210,1,78
30/12/2017,2017XX228873,122896,ON#2445,210,5,86
15/12/2018,2018XX258546,127666,ON#2373,210,4,88
06/06/2018,2018XX217204,128131,ON#2396,210,2,77
16/06/2018,2018YY263782,127126,ON#2366,210,3,86
14/03/2018,2018XX262389,131896,ON#2356,210,1,82
22/08/2017,2017XX253170,126421,ON#2384,210,3,77
19/11/2016,2016XX216826,127816,ON#2411,210,2,82
09/10/2016,2016XX262837,132886,ON#2438,210,5,86
25/10/2017,2017XX243692,129016,ON#2439,210,2,87
18/08/2017,2017YY250300,124486,ON#2359,210,4,83
02/12/2016,2016XX248326,132136,ON#2428,210,4,79
02/11/2017,2017XX228131,126316,ON#2411,210,4,80
15/06/2016,2016XX211359,123646,ON#2358,210,4,76
17/05/2016,2016XX249187,127951,ON#2361,210,1,88
06/04/2016,2016XX251434,128476,ON#2418,210,4,79
26/09/2018,2018XX271006,131476,ON#2431,210,3,83
16/09/2015,2015XX220256,123466,ON#2351,210,4,77
04/07/2015,2015XX275080,130561,ON#2395,210,3,84
21/05/2018,2018YY277537,122566,ON#2414,210,3,84
26/08/2017,2017YY226654,131086,ON#2425,210,4,89
06/12/2015,2015XX249509,130936,ON#2411,211,4,79
27/09/2017,2017XX216798,130846,ON#2380,211,3,82
02/11/2017,2017XX268899,122731,ON#2351,211,3,77
23/12/2016,2016XX211758,126181,ON#2439,211,3,89
27/12/2016,2016XX229174,125851,ON#2350,211,1,83
24/07/2017,2017XX251714,126181,ON#2357,211,4,80
12/07/2018,2018YY231631,122236,ON#2382,211,5,89
04/12/2018,2018XX254542,124441,ON#2357,211,5,77
11/12/2015,2015XX269585,131011,ON#2385,211,1,75
06/05/2015,2015XX214201,125806,ON#2438,211,5,90
03/10/2015,2015XX239149,123676,ON#2349,211,3,84
28/10/2018,2018YY236930,124141,ON#2411,211,3,78
22/10/2016,2016XX229013,132661,ON#2415,211,1,80
15/04/2015,2015XX225723,126406,ON#2444,211,4,90
22/03/2017,2017YY279623,122356,ON#2350,211,1,76
07/11/2015,2015XX243755,121471,ON#2350,211,2,85
20/12/2018,2018XX228159,132616,ON#2443,211,1,76
04/11/2017,2017XX215132,132676,ON#2438,211,2,84
29/05/2015,2015XX219024,127891,ON#2358,211,4,90
03/10/2017,2017XX218163,126826,ON#2393,211,2,81
22/11/2017,2017XX280547,125716,ON#2403,211,2,88
02/02/2018,2018XX262963,126361,ON#2352,211,4,87
14/10/2015,2015XX253982,130501,ON#2370,211,4,85
06/11/2016,2016XX262935,126211,ON#2366,211,1,77
08/05/2016,2016XX277705,130501,ON#2405,211,2,88
09/07/2016,2016XX275220,128806,ON#2367,211,2,75
30/10/2018,2018YY241816,131161,ON#2420,211,5,82
27/08/2016,2016XX254913,121351,ON#2350,211,4,84
26/09/2015,2015XX226472,131071,ON#2355,212,1,88
13/10/2015,2015XX212689,131596,ON#2372,212,3,86
21/12/2016,2016XX265357,128896,ON#2357,212,4,85
02/11/2018,2018XX268164,124951,ON#2441,212,1,78
09/09/2015,2015XX242663,128026,ON#2359,212,2,90
09/07/2018,2018XX243895,132346,ON#2441,212,5,81
02/12/2015,2015XX245526,131026,ON#2351,212,1,81
10/05/2018,2018XX246492,122911,ON#2394,212,5,87
18/10/2016,2016XX244238,128911,ON#2379,212,5,79
02/12/2017,2017XX224834,126856,ON#2388,212,5,79
15/08/2017,2017XX213179,122896,ON#2351,212,4,89
27/12/2017,2017XX244924,128536,ON#2445,212,3,84
15/12/2016,2016XX230805,129391,ON#2367,212,5,87
22/11/2018,2018XX259379,129601,ON#2412,212,3,85
09/10/2017,2017YY225387,121831,ON#2402,212,2,80
06/06/2017,2017XX248942,122116,ON#2369,212,4,87
18/10/2018,2018XX223728,121336,ON#2441,212,2,77
22/10/2016,2016XX279693,124066,ON#2410,212,4,79
29/12/2016,2016XX265553,124906,ON#2370,212,4,86
20/07/2016,2016XX233178,128266,ON#2393,212,3,84
29/08/2018,2018YY242166,130846,ON#2374,212,3,90
30/07/2015,2015YY232779,122971,ON#2424,212,4,81
16/02/2018,2018YY215874,132361,ON#2433,212,2,81
27/11/2018,2018XX273386,129841,ON#2357,212,1,85
18/05/2018,2018XX240178,129871,ON#2407,212,2,77
26/12/2016,2016XX224365,126736,ON#2400,212,2,88
14/10/2017,2017XX216945,121381,ON#2417,212,1,86
28/12/2018,2018XX270719,127321,ON#2401,212,3,81
10/06/2017,2017XX223595,129196,ON#2414,212,2,76
14/06/2018,2018XX248998,129226,ON#2400,212,1,88
17/09/2016,2016YY275451,127066,ON#2408,212,3,81
26/11/2016,2016XX242061,124411,ON#2417,212,1,77
20/07/2016,2016XX223077,130066,ON#2378,212,2,76
06/12/2018,2018XX214138,123391,ON#2402,212,2,85
14/02/2015,2015XX229405,129031,ON#2386,212,2,77
24/06/2015,2015YY216980,121621,ON#2413,213,5,90
09/07/2018,2018XX243895,132346,ON#2356,213,3,82
14/07/2018,2018XX213550,131596,ON#2446,213,1,83
31/12/2015,2015XX261458,129856,ON#2417,213,1,77
19/12/2018,2018YY243657,123391,ON#2439,213,1,82
10/12/2018,2018XX241046,126106,ON#2419,213,1,90
30/11/2018,2018XX234704,126316,ON#2396,213,1,84
20/10/2017,2017XX279567,130621,ON#2439,213,1,76
30/10/2015,2015YY278846,122311,ON#2440,213,5,77
28/02/2016,2016XX279959,131476,ON#2420,213,1,75
13/12/2018,2018XX246128,125251,ON#2429,213,3,78
28/09/2015,2015XX235901,123721,ON#2377,213,1,79
08/12/2018,2018XX263950,132616,ON#2372,213,3,84
05/10/2018,2018XX253142,130396,ON#2400,213,3,76
23/09/2015,2015XX234466,124366,ON#2439,213,2,76
26/11/2016,2016XX264104,132736,ON#2350,213,4,87
08/09/2018,2018XX226388,128686,ON#2363,213,5,81
29/04/2016,2016YY215209,130546,ON#2360,213,4,87
09/08/2015,2015XX261514,129136,ON#2374,213,5,79
15/02/2018,2018XX238519,122821,ON#2437,213,4,88
30/07/2015,2015YY232779,122971,ON#2429,213,3,85
05/12/2018,2018XX228880,129091,ON#2434,213,1,87
29/05/2015,2015XX219024,127891,ON#2436,213,4,78
12/10/2016,2016XX265007,131401,ON#2440,213,5,79
03/07/2017,2017YY230259,124876,ON#2385,213,3,87
04/04/2015,2015YY239191,126706,ON#2372,213,4,83
16/03/2015,2015XX276781,122131,ON#2410,213,3,82
11/05/2017,2017XX220865,130366,ON#2445,213,4,77
06/10/2017,2017XX269991,124321,ON#2354,213,2,88
08/02/2017,2017XX270019,129631,ON#2373,213,2,85
13/09/2018,2018XX263523,124006,ON#2419,213,1,88
14/11/2018,2018XX214425,129136,ON#2359,213,5,89
06/12/2015,2015XX225464,128461,ON#2379,213,3,89
07/12/2017,2017YY237182,128086,ON#2410,214,3,80
02/07/2015,2015XX243139,124591,ON#2440,214,2,90
02/10/2016,2016XX249159,124726,ON#2408,214,4,76
23/11/2017,2017XX276361,130246,ON#2364,214,3,82
04/08/2018,2018XX222860,130696,ON#2381,214,5,87
25/12/2016,2016XX216560,124111,ON#2402,214,5,79
22/11/2018,2018XX257097,131266,ON#2380,214,5,78
05/11/2016,2016XX246072,127231,ON#2372,214,2,80
30/12/2016,2016XX233423,132961,ON#2404,214,3,81
07/09/2016,2016XX272007,129091,ON#2407,214,1,75
15/12/2016,2016XX249110,129946,ON#2364,214,4,81
13/12/2015,2015XX262508,127081,ON#2368,214,4,82
04/11/2018,2018XX245820,126151,ON#2354,214,5,82
24/12/2015,2015XX253527,131311,ON#2426,214,2,86
