Product Key,Subcategory Key,Product Name,Color,Cost,Price
244,1026,LOGITECH H340 USB Headset,"Grey,",£20,£26
245,1012,Dell XPS 8940 Intel i7 512GB SSD 16GB RAM Desktop,"Black,",£973,"£1,003"
246,1018,"TP-LINK Archer AX10 WiFi Cable & Fibre Router - AX 1500, Dual-band","Grey,",£139,£155
247,1020,MSI MAG CORELIQUID 240R V2 240 mm Liquid CPU Cooler - RGB LED,"Black,",£49,£64
248,1015,SATECHI M1 Wireless Optical Mouse - Silver,"Grey,",£18,£24
249,1022,APPLE USB-C to USB Adapter,"Silver,",£11,£17
250,1011,Apple MacBook pro,"Silver,",£943,"£1,152"
251,1022,APPLE Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter,"Grey,",£14,£21
252,1021,LOGITECH C922 Pro Stream Full HD Webcam,"Black,",£41,£69
253,1015,SANDSTROM SMWLHYP15 Wireless Blue Trace Mouse - Gun Metal,"Black,",£122,£22
254,1024,HP 500 Wireless Headset,"Silver,",£18,£25
255,1011,Microsoft surface book 3,"Grey,",£954,"£1,435"
256,1013,HP OMEN 40L Intel i7 RTX 3060 512GB SSD Desktop,"Black,",£959,"£1,422"
257,1026,ADVENT AHSOE19 Headset - Black,"Silver,",£15,£22
258,1029,EPSON EcoTank ET-2820 All-in-One Wireless Inkjet Printer,"Grey,",£67,£113
259,1024,ADVENT AHSOE19 Headset - Black,"Silver,",£21,£23
260,1027,HP DeskJet Plus 4130e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Grey,",£89,£107
261,1026,POLY Blackwire 3320 Headset ,"Grey,",£16,£30
262,1029,EPSON EcoTank ET-2810 All-in-One Wireless Inkjet Printer,"Black,",£53,£107
263,1017,SEAGATE Gaming Hard Drive for Xbox ,"Silver,",£62,£71
264,1018,"ASUS DSL-AX82U WiFi Modem Router - AX 5400, Dual-band","Grey,",£137,£161
265,1016,LG XBOOM LK72B Bluetooth Traditional Hi-Fi System,"Silver,",£125,£144
266,1018,"ASUS DSL-AX82U WiFi Modem Router - AX 5400, Dual-band","Black,",£138,£184
267,1014,Logitech Wireless Combo MK270 Keyboard & Mouse Set,"Black,",£20,£22
268,1018,"TP-LINK Archer AX10 WiFi Cable & Fibre Router - AX 1500, Dual-band","Grey,",£133,£174
269,1028,HP Colour Laser 150nw Wireless Laser Printer,"Silver,",£80,£125
270,1014,Logitech POP Keys Mechanical Wireless Keyboard - Blast Yellow,"Grey,",£20,£25
271,1017,SEAGATE Gaming Hard Drive for Xbox ,"Grey,",£49,£78
272,1020,CORSAIR LL Series 120 mm Case Fan - RGB LED,"Silver,",£49,£68
273,1028,BROTHER HLL2350DW Monochrome Wireless Laser Printer,"Grey,",£57,£113
274,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Black,",£69,£91
275,1015,SATECHI M1 Wireless Optical Mouse - Space Grey,"Silver,",£17,£24
276,1026,ADVENT AHSOE19 Headset - Black,"Grey,",£17,£27
277,1016,JBL Xtreme 2 Portable Bluetooth Speaker - Gun Metal Grey,"Black,",£113,£133
278,1019,PNY XLR8 DDR4 3200 MHz PC RAM - 8 GB x 2,"Black,",£51,£97
279,1017,"SEAGATE Expansion External Hard Drive - 1 TB, Black","Silver,",£52,£75
280,1024,HP 500 Wireless Headset,"Grey,",£16,£25
281,1027,HP DeskJet Plus 4130e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Black,",£55,£113
282,1011,Microsoft surface book 3,"Black,",£924,"£1,300"
283,1022,ADVENT USB-A to USB-B Cable - 1.8 m,"Grey,",£15,£16
284,1022,APPLE Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter,"Silver,",£14,£19
285,1015,SATECHI M1 Wireless Optical Mouse - Space Grey,"Grey,",£19,£20
286,1020,CORSAIR LL Series 120 mm Case Fan - RGB LED,"Black,",£38,£77
287,1019,PNY XLR8 DDR4 3200 MHz PC RAM - 8 GB x 2,"Black,",£67,£96
288,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Black,",£69,£95
289,1028,BROTHER HLL2350DW Monochrome Wireless Laser Printer,"Grey,",£60,£102
290,1027,HP DeskJet 2710e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Silver,",£67,£109
291,1029,HP DeskJet 4120e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Black,",£87,£122
292,1012,Dell Inspiron 3910 Intel i5 256GB SSD 8GB RAM Desktop,"Grey,",£998,"£1,438"
293,1013,HP Pavilion Intel i5 RTX 3060 256GB SSD Desktop,"Grey,",£934,"£1,312"
294,1011,HP spectre x360,"Black,",£984,"£1,065"
295,1025,ASUS TUF GAMING B550-PLUS AM4 Motherboard,"Silver,",£111,£156
296,1011,Apple MacBook air,"Grey,",£987,"£1,065"
297,1016,JBL Charge 5 Portable Bluetooth Speaker ,"Grey,",£112,£149
298,1019,PNY XLR8 DDR4 3200 MHz PC RAM - 8 GB x 2,"Black,",£53,£93
299,1015,SANDSTROM SMWLHYP15 Wireless Blue Trace Mouse - Gun Metal,"Black,",£20,£21
300,1027,HP DeskJet Plus 4130e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Silver,",£99,£106
301,1023,ESSENTIALS C2HDMI15 High Speed HDMI Cable - 2 m,"Grey,",£10,£24
302,1025,ASUS PRIME B550M-A AM4 Motherboard,"Silver,",£114,£171
303,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Grey,",£68,£91
304,1030,BROTHER HLL3230CDW Wireless Laser Colour Printer,"Silver,",£84,£104
305,1019,PNY XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,"Black,",£55,£90
306,1026,POLY Blackwire 3320 Headset ,"Grey,",£21,£28
307,1024,LOGITECH H340 USB Headset,"Black,",£20,£23
308,1022,APPLE Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter,"Silver,",£15,£22
309,1012,Dell Inspiron 3910 Intel i5 256GB SSD 8GB RAM Desktop,"Black,",£953,"£1,224"
310,1018,"TP-LINK Archer AX10 WiFi Cable & Fibre Router - AX 1500, Dual-band","Grey,",£141,£154
311,1018,"TP-LINK Archer AX10 WiFi Cable & Fibre Router - AX 1500, Dual-band","Grey,",£141,£170
312,1012,SkyTech Shadow 3.0 Ryzen 5 RTX 3060 1TB Desktop,"Black,",£907,"£1,103"
313,1029,EPSON Expression Home XP-3155 All-in-One Wireless Inkjet Printer,"Silver,",£81,£116
314,1025,ASUS PRIME B550M-A AM4 Motherboard,"Silver,",£115,£155
315,1022,ADVENT USB-A to USB-B Cable - 1.8 m,"Black,",£13,£19
316,1030,BROTHER MFC-L8690CDW All-in-One Wireless Laser Colour Printer with Fax,"Black,",£69,£123
317,1020,"CORSAIR LL Series 120 mm Case Fan - Triple Pack, RGB LED","Black,",£41,£71
318,1017,"SEAGATE Expansion External Hard Drive - 1 TB, Black","Black,",£60,£79
319,1021,SANDSTROM SWCAMHD19 Full HD Webcam,"Grey,",£46,£68
320,1013,HP Pavilion Intel i5 RTX 3060 256GB SSD Desktop,"Blue,",£977,"£1,437"
321,1025,MSI MAG B550 TOMAHAWK AM4 Motherboard,"Silver,",£101,£155
322,1020,MSI MAG CORELIQUID 240R V2 240 mm Liquid CPU Cooler - RGB LED,"Black,",£46,£72
323,1023,SANDSTROM Black Series S1HDM115 High Speed HDMI Cable with Ethernet - 1 m,"Black,",£12,£23
324,1022,ADVENT USB Type-C to HDMI & USB Adapter,"Black,",£11,£20
325,1019,PNY XLR8 DDR4 3200 MHz PC RAM - 8 GB x 2,"Black,",£52,£96
326,1018,"ASUS RT-AX88U WiFi Cable & Fibre Router - AX 6000, Dual-band","Black,",£133,£167
327,1025,ASUS PRIME B550M-A AM4 Motherboard,"Silver,",£109,£153
328,1026,ADVENT AHSOE19 Headset - Black,"Grey,",£15,£27
329,1012,Dell XPS 8940 Intel i7 512GB SSD 16GB RAM Desktop,"Grey,",£970,"£1,405"
330,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Grey,",£56,£97
331,1029,CANON PIXMA TS3355 All-in-One Wireless Inkjet Printer,"Silver,",£73,£111
332,1012,Dell Inspiron 3910 Intel i5 256GB SSD 8GB RAM Desktop,"Black,",£930,"£1,114"
333,1012,Dell Inspiron 3910 Intel i5 256GB SSD 8GB RAM Desktop,"Grey,",£983,"£1,245"
334,1029,EPSON EcoTank ET-2810 All-in-One Wireless Inkjet Printer,"Silver,",£56,£110
335,1027,EPSON Expression Home XP-3155 All-in-One Deskjet Printer,"Grey,",£97,£118
336,1030,HP MFP 178nw All-in-One Wireless Laser Colour Printer,"Silver,",£85,£125
337,1023,ESSENTIALS C1HDMI15 High Speed HDMI Cable - 1 m,"Grey,",£15,£19
338,1011,Apple MacBook air,"Black,",£956,"£1,064"
339,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Grey,",£55,£94
340,1019,PNY XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,"Grey,",£67,£93
341,1022,APPLE USB-C to USB Adapter,"Black,",£12,£21
342,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Grey,",£51,£94
343,1028,BROTHER HLL2350DW Monochrome Wireless Laser Printer,"Silver,",£92,£118
344,1023,SANDSTROM Black Series S1HDM115 High Speed HDMI Cable with Ethernet - 1 m,"Grey,",£12,£17
345,1014,Logitech POP Keys Mechanical Wireless Keyboard - Blast Yellow,"Grey,",£20,£20
346,1013,HP Pavilion Intel i5 RTX 3060 256GB SSD Desktop,"Blue,",£939,"£1,209"
347,1030,BROTHER DCPL3550CDW All-in-One Wireless Laser Colour Printer,"Silver,",£54,£118
348,1017,SEAGATE Gaming Hard Drive for Xbox ,"Silver,",£37,£79
