Customer_Ref,Marital Status,Gender,Annual Income,Total Children,EducationLevel,Occupation,Age,Home Owner,,
customer12550,M,m,"£49,827",5,Partial College,Management,53,N,,
customer12551,M,m,"£68,300",5,Partial College,Manual,29,N,,
customer12552,S,f,"£41,863",4,Bachelors,Skilled Manual,41,Y,,
customer12553,S,m,"£49,141",5,Partial College,Manual,49,Y,,
customer12554,M,m,"£67,964",1,Bachelors,Professional,23,Y,,
customer12555,M,f,"£55,192",4,High School,Management,31,Y,,
customer12556,M,f,"£45,656",4,Partial College,Management,30,Y,,
customer12557,S,m,"£89,669",1,Bachelors,Manual,27,N,,
customer12558,S,m,"£55,075",1,Bachelors,Management,50,N,,
customer12559,S,m,"£64,845",2,Graduate Degree,Management,23,N,,
customer12560,M,m,"£61,753",4,Graduate Degree,Professional,51,N,,
customer12561,S,m,"£85,669",3,Graduate Degree,Skilled Manual,30,Y,,
customer12562,M,f,"£34,967",0,High School,Management,30,Y,,
customer12563,S,f,"£61,534",0,Partial High School,Management,33,Y,,
customer12564,M,m,"£80,940",4,Graduate Degree,Manual,50,Y,,
customer12565,S,f,"£49,216",1,High School,Skilled Manual,34,N,,
customer12566,S,m,"£47,370",3,Graduate Degree,Management,45,Y,,
customer12567,M,f,"£47,661",2,High School,Skilled Manual,25,N,,
customer12568,S,f,"£87,344",5,Partial High School,Clerical,31,N,,
customer12569,M,f,"£67,167",3,Partial High School,Manual,27,N,,
customer12570,S,f,"£68,359",5,Partial College,Professional,34,Y,,
customer12571,S,m,"£64,827",1,High School,Management,44,N,,
customer12572,M,f,"£35,427",2,Partial High School,Professional,35,N,,
customer12573,M,f,"£87,936",5,Bachelors,Professional,48,Y,,
customer12574,M,m,"£61,111",4,Partial College,Management,38,Y,,
customer12575,S,m,"£42,414",4,Partial High School,Clerical,51,N,,
customer12576,M,m,"£84,617",1,Bachelors,Skilled Manual,43,Y,,
customer12577,M,m,"£58,819",2,Bachelors,Manual,49,Y,,
customer12578,S,m,"£71,225",5,High School,Management,23,Y,,
customer12579,S,m,"£54,674",4,Partial College,Clerical,36,N,,
customer12580,M,m,"£51,296",0,High School,Clerical,40,N,,
customer12581,S,m,"£35,651",0,High School,Management,33,N,,
customer12582,S,m,"£41,803",5,Graduate Degree,Management,40,Y,,
customer12583,S,m,"£41,634",4,Partial High School,Manual,49,Y,,
customer12584,M,m,"£71,033",5,Partial College,Professional,23,N,,
customer12585,M,m,"£69,460",0,Bachelors,Manual,25,Y,,
customer12586,M,m,"£38,424",3,Partial High School,Clerical,47,N,,
customer12587,S,f,"£31,515",4,Graduate Degree,Clerical,30,Y,,
customer12588,S,f,"£74,665",2,High School,Clerical,42,N,,
customer12589,M,m,"£85,194",5,High School,Clerical,40,Y,,
customer12590,M,m,"£59,922",0,High School,Professional,22,Y,,
customer12591,M,m,"£84,279",5,Bachelors,Clerical,43,Y,,
customer12592,S,m,"£34,188",0,High School,Management,54,Y,,
customer12593,S,m,"£89,113",1,High School,Clerical,32,N,,
customer12594,S,m,"£62,274",2,Partial College,Management,35,N,,
customer12595,M,f,"£40,406",5,Partial High School,Management,35,N,,
customer12596,S,m,"£78,906",4,Partial High School,Professional,52,Y,,
customer12597,M,f,"£50,543",3,High School,Clerical,54,Y,,
customer12598,M,m,"£51,490",3,Graduate Degree,Clerical,23,N,,
customer12599,S,m,"£87,924",5,Partial High School,Skilled Manual,54,Y,,
customer12600,S,m,"£37,405",1,Partial College,Skilled Manual,46,N,,
customer12601,S,m,"£41,973",4,Graduate Degree,Clerical,52,Y,,
customer12602,M,m,"£62,077",2,Graduate Degree,Professional,38,Y,,
customer12603,S,f,"£40,077",0,Partial High School,Management,38,Y,,
customer12604,M,m,"£76,818",3,Bachelors,Manual,39,Y,,
customer12605,M,m,"£34,395",1,Partial College,Skilled Manual,47,Y,,
customer12606,S,f,"£48,433",3,Graduate Degree,Clerical,31,Y,,
customer12607,M,m,"£51,406",0,High School,Clerical,27,Y,,
customer12608,M,f,"£72,661",2,Bachelors,Professional,54,Y,,
customer12609,S,m,"£71,668",1,Partial College,Professional,48,N,,
customer12610,S,f,"£77,540",0,High School,Manual,33,N,,
customer12611,S,m,"£37,049",3,Partial College,Clerical,36,Y,,
customer12612,S,f,"£64,253",0,Partial College,Professional,23,N,,
customer12613,M,f,"£34,639",0,Partial High School,Manual,31,Y,,
customer12614,M,m,"£56,715",3,Graduate Degree,Professional,55,Y,,
customer12615,M,f,"£43,494",2,High School,Clerical,45,N,,
customer12616,S,m,"£42,879",3,Graduate Degree,Skilled Manual,54,Y,,
customer12617,S,m,"£73,545",4,Bachelors,Management,22,Y,,
customer12618,M,f,"£61,576",5,Partial College,Management,30,N,,
customer12619,M,f,"£57,648",5,Partial College,Clerical,44,Y,,
customer12620,M,f,"£87,159",3,High School,Skilled Manual,49,N,,
customer12621,M,m,"£37,182",1,Graduate Degree,Professional,35,N,,
customer12622,M,m,"£70,597",1,Bachelors,Manual,42,N,,
customer12623,S,f,"£84,012",4,Bachelors,Management,27,N,,
customer12624,S,f,"£88,980",1,Bachelors,Manual,23,N,,
customer12625,M,m,"£41,255",5,Graduate Degree,Clerical,45,N,,
customer12626,S,m,"£48,126",4,Partial High School,Manual,46,N,,
customer12627,M,m,"£46,378",3,Partial High School,Manual,40,N,,
customer12628,S,f,"£45,542",5,Partial College,Management,24,Y,,
customer12629,M,f,"£33,246",5,Graduate Degree,Skilled Manual,34,Y,,
customer12630,S,m,"£35,060",5,High School,Skilled Manual,31,Y,,
customer12631,M,m,"£57,863",0,Bachelors,Manual,53,N,,
customer12632,M,f,"£67,452",5,Graduate Degree,Management,47,N,,
customer12633,M,m,"£62,506",0,Bachelors,Manual,49,N,,
customer12634,M,f,"£57,961",0,Bachelors,Skilled Manual,34,Y,,
customer12635,S,f,"£80,967",2,Graduate Degree,Management,28,N,,
customer12636,M,f,"£76,343",2,Graduate Degree,Management,41,N,,
customer12637,M,m,"£69,667",0,Partial High School,Professional,45,N,,
customer12638,M,f,"£85,300",5,Bachelors,Management,32,N,,
customer12639,M,m,"£70,151",1,Graduate Degree,Professional,52,N,,
customer12640,S,m,"£61,027",2,High School,Manual,47,N,,
customer12641,M,f,"£45,851",3,Graduate Degree,Professional,44,N,,
customer12642,M,m,"£65,177",1,Bachelors,Skilled Manual,45,Y,,
customer12643,M,f,"£67,090",5,Partial High School,Clerical,54,N,,
customer12644,S,f,"£45,839",5,Bachelors,Skilled Manual,44,N,,
customer12645,S,m,"£71,618",2,High School,Clerical,45,N,,
customer12646,M,f,"£72,584",5,Graduate Degree,Manual,39,N,,
customer12647,M,m,"£78,399",0,Partial College,Skilled Manual,32,N,,
customer12648,S,m,"£66,465",5,Partial High School,Clerical,34,N,,
customer12649,M,f,"£75,339",4,Graduate Degree,Manual,49,N,,
customer12650,M,f,"£84,279",3,High School,Skilled Manual,35,Y,,
customer12651,M,f,"£46,239",4,High School,Management,47,Y,,
customer12652,M,m,"£63,798",2,Graduate Degree,Manual,54,N,,
customer12653,S,f,"£85,532",2,Partial High School,Management,39,Y,,
customer12654,M,m,"£63,767",3,Partial High School,Clerical,24,Y,,
customer12655,M,m,"£39,715",0,Bachelors,Clerical,33,Y,,
customer12656,M,m,"£37,536",0,Graduate Degree,Skilled Manual,38,Y,,
customer12657,S,f,"£47,369",1,Graduate Degree,Manual,42,N,,
customer12658,S,m,"£42,392",2,Partial High School,Manual,52,N,,
customer12659,M,f,"£67,694",5,Partial High School,Skilled Manual,25,Y,,
customer12660,M,f,"£35,709",5,Graduate Degree,Professional,31,Y,,
customer12661,M,f,"£46,793",4,Graduate Degree,Clerical,43,N,,
customer12662,M,f,"£57,733",5,Bachelors,Management,35,Y,,
customer12663,M,f,"£39,175",2,Partial High School,Management,28,N,,
customer12664,M,m,"£58,224",3,Partial College,Manual,47,N,,
customer12665,S,f,"£77,691",3,Bachelors,Manual,29,N,,
customer12666,S,f,"£67,202",0,Graduate Degree,Manual,44,N,,
customer12667,S,m,"£33,687",0,Partial College,Management,25,N,,
customer12668,M,m,"£69,714",2,Graduate Degree,Clerical,48,Y,,
customer12669,M,f,"£79,306",0,High School,Clerical,50,N,,
customer12670,M,f,"£84,754",1,Partial High School,Skilled Manual,53,N,,
customer12671,M,f,"£63,861",5,High School,Skilled Manual,32,N,,
customer12672,S,m,"£80,899",3,Graduate Degree,Clerical,37,Y,,
customer12673,M,m,"£56,816",2,Bachelors,Professional,26,Y,,
customer12674,S,m,"£66,285",0,Bachelors,Manual,51,N,,
customer12675,S,m,"£45,521",5,Partial High School,Skilled Manual,33,N,,
customer12676,S,f,"£35,096",3,Partial High School,Manual,55,N,,
customer12677,M,m,"£84,865",4,Graduate Degree,Manual,31,Y,,
customer12678,S,f,"£30,298",3,High School,Clerical,31,N,,
customer12679,S,m,"£56,869",5,Graduate Degree,Professional,37,N,,
customer12680,S,m,"£85,085",5,Graduate Degree,Professional,49,Y,,
customer12681,S,f,"£62,161",0,Partial High School,Skilled Manual,46,N,,
customer12682,S,m,"£80,804",3,Partial High School,Skilled Manual,26,N,,
customer12683,M,m,"£49,860",0,High School,Manual,55,N,,
customer12684,S,f,"£78,837",4,Partial College,Professional,24,N,,
customer12685,M,m,"£51,146",3,High School,Clerical,35,N,,
customer12686,M,f,"£84,113",5,High School,Management,47,Y,,
customer12687,M,f,"£38,884",1,Partial College,Clerical,50,N,,
customer12688,S,m,"£52,976",0,High School,Manual,54,Y,,
customer12689,M,f,"£59,691",3,Graduate Degree,Professional,28,Y,,
customer12690,S,f,"£45,680",4,Partial High School,Management,39,Y,,
customer12691,M,f,"£80,906",5,Partial College,Skilled Manual,26,N,,
customer12692,S,f,"£52,482",2,High School,Manual,23,Y,,
customer12693,M,f,"£41,758",3,High School,Clerical,28,Y,,
customer12694,S,m,"£59,824",1,Partial College,Professional,30,Y,,
customer12695,M,f,"£32,260",4,Graduate Degree,Skilled Manual,27,Y,,
customer12696,M,m,"£69,094",2,Partial High School,Skilled Manual,48,N,,
customer12697,M,f,"£48,588",5,Partial High School,Clerical,24,Y,,
customer12698,S,f,"£70,028",4,Partial College,Manual,46,N,,
customer12699,M,m,"£58,046",3,High School,Management,40,Y,,
customer12700,S,f,"£57,436",2,High School,Clerical,41,Y,,
customer12701,M,f,"£66,775",1,Partial High School,Management,26,N,,
customer12702,M,m,"£55,734",1,High School,Professional,44,Y,,
customer12703,M,m,"£48,154",3,High School,Clerical,32,N,,
customer12704,S,m,"£47,414",5,Graduate Degree,Manual,47,N,,
customer12705,M,m,"£48,047",1,Graduate Degree,Manual,49,N,,
customer12706,S,f,"£55,771",3,High School,Skilled Manual,47,N,,
customer12707,S,m,"£55,084",5,High School,Skilled Manual,30,N,,
customer12708,M,f,"£83,525",2,Partial High School,Professional,26,N,,
customer12709,S,m,"£42,818",2,High School,Manual,38,Y,,
customer12710,M,f,"£42,191",2,High School,Manual,52,N,,
customer12711,M,m,"£76,877",1,Graduate Degree,Professional,47,N,,
customer12712,M,m,"£33,593",1,Partial High School,Manual,47,Y,,
customer12713,M,m,"£77,445",0,Graduate Degree,Professional,51,Y,,
customer12714,S,f,"£38,862",2,High School,Skilled Manual,44,N,,
customer12715,S,f,"£74,290",0,High School,Manual,50,Y,,
customer12716,S,f,"£54,524",5,High School,Clerical,32,Y,,
customer12717,M,f,"£73,818",5,Bachelors,Clerical,31,Y,,
customer12718,S,f,"£51,819",2,Bachelors,Manual,34,Y,,
customer12719,S,f,"£45,060",4,Graduate Degree,Skilled Manual,47,N,,
customer12720,S,m,"£49,732",4,Partial High School,Management,51,N,,
customer12721,S,m,"£63,262",1,High School,Management,40,N,,
customer12722,M,f,"£67,241",3,Partial College,Professional,41,Y,,
customer12723,S,f,"£50,580",5,Partial College,Manual,34,Y,,
customer12724,S,m,"£87,456",3,Bachelors,Clerical,51,N,,
customer12725,M,f,"£66,533",5,Partial High School,Management,52,Y,,
customer12726,M,m,"£30,378",4,Partial College,Clerical,29,Y,,
customer12727,M,m,"£54,872",0,Partial College,Skilled Manual,45,N,,
customer12728,M,m,"£63,944",0,Partial College,Clerical,46,Y,,
customer12729,M,m,"£74,281",0,Partial College,Clerical,39,N,,
customer12730,M,m,"£73,067",5,High School,Professional,29,Y,,
customer12731,S,m,"£53,067",1,High School,Professional,40,Y,,
customer12732,S,f,"£53,724",1,Graduate Degree,Skilled Manual,53,N,,
customer12733,M,m,"£32,151",0,Graduate Degree,Clerical,46,Y,,
customer12734,M,m,"£69,159",3,Partial High School,Clerical,49,Y,,
customer12735,M,f,"£83,559",4,Partial College,Skilled Manual,30,N,,
customer12736,M,m,"£89,495",5,Graduate Degree,Clerical,52,Y,,
customer12737,M,m,"£34,535",2,Graduate Degree,Manual,27,Y,,
customer12738,M,m,"£65,710",5,Bachelors,Clerical,24,Y,,
customer12739,M,f,"£85,285",0,Graduate Degree,Professional,54,Y,,
customer12740,S,f,"£63,872",0,Graduate Degree,Management,28,N,,
customer12741,S,m,"£86,789",0,Partial College,Professional,49,N,,
customer12742,S,f,"£38,961",0,Partial College,Skilled Manual,45,N,,
customer12743,M,f,"£86,655",2,High School,Skilled Manual,47,Y,,
customer12744,S,m,"£44,714",2,High School,Manual,54,Y,,
customer12745,S,f,"£61,226",0,Bachelors,Manual,42,Y,,
customer12746,M,m,"£35,736",5,Partial College,Skilled Manual,44,N,,
customer12747,M,f,"£88,938",0,Bachelors,Professional,31,Y,,
customer12748,S,f,"£53,584",1,High School,Clerical,44,Y,,
customer12749,S,f,"£76,784",2,Graduate Degree,Manual,35,N,,
customer12750,S,f,"£67,183",3,High School,Management,31,Y,,
customer12751,M,m,"£68,005",2,Bachelors,Skilled Manual,47,N,,
customer12752,S,m,"£66,406",0,Graduate Degree,Clerical,35,N,,
customer12753,M,f,"£39,430",0,High School,Management,38,N,,
customer12754,M,m,"£50,494",4,Partial College,Clerical,47,N,,
customer12755,M,m,"£31,350",0,High School,Skilled Manual,43,Y,,
customer12756,M,f,"£57,508",0,Graduate Degree,Skilled Manual,37,N,,
customer12757,S,f,"£82,542",2,Bachelors,Professional,30,N,,
customer12758,M,m,"£44,511",3,Bachelors,Skilled Manual,26,N,,
customer12759,S,f,"£46,370",4,Bachelors,Management,33,Y,,
customer12760,S,m,"£70,498",3,Graduate Degree,Management,51,N,,
customer12761,M,f,"£39,823",3,Partial High School,Professional,34,N,,
customer12762,S,f,"£33,946",1,High School,Professional,43,Y,,
customer12763,S,f,"£73,067",2,Partial College,Skilled Manual,28,N,,
customer12764,S,m,"£70,212",2,Partial College,Skilled Manual,29,N,,
customer12765,M,m,"£61,138",3,Graduate Degree,Management,43,N,,
customer12766,M,m,"£82,264",5,Partial High School,Clerical,41,Y,,
customer12767,S,f,"£34,940",1,Graduate Degree,Clerical,47,N,,
customer12768,S,m,"£85,054",5,Bachelors,Management,38,N,,
customer12769,S,m,"£55,277",2,Graduate Degree,Manual,32,Y,,
